Departamento;Provincia;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Comuna 1;CABA;243.946;245.308;246.689;248.069;249.433;250.770;252.053;253.271;254.408;255.457;256.405;257.235;257.934;258.497;258.922;259.205
Comuna 2;CABA;150.714;150.573;150.428;150.278;150.130;149.985;149.848;149.720;149.607;149.510;149.430;149.371;149.337;149.328;149.345;149.389
Comuna 3;CABA;191.323;191.536;191.750;191.963;192.171;192.375;192.573;192.763;192.945;193.115;193.276;193.425;193.560;193.682;193.790;193.884
Comuna 4;CABA;234.933;235.497;236.071;236.646;237.214;237.769;238.303;238.809;239.279;239.712;240.100;240.437;240.716;240.937;241.096;241.193
Comuna 5;CABA;185.301;185.544;185.789;186.034;186.276;186.512;186.740;186.956;187.159;187.348;187.518;187.670;187.800;187.907;187.991;188.053
Comuna 6;CABA;183.046;183.309;183.576;183.843;184.105;184.363;184.611;184.846;185.067;185.271;185.456;185.620;185.760;185.875;185.964;186.028
Comuna 7;CABA;236.838;237.389;237.946;238.505;239.057;239.597;240.116;240.607;241.065;241.484;241.861;242.188;242.460;242.674;242.828;242.921
Comuna 8;CABA;219.638;220.655;221.693;222.733;223.764;224.770;225.737;226.649;227.495;228.266;228.953;229.541;230.018;230.380;230.623;230.745
Comuna 9;CABA;168.681;168.964;169.248;169.533;169.814;170.087;170.353;170.605;170.842;171.062;171.264;171.444;171.600;171.733;171.839;171.921
Comuna 10;CABA;169.372;169.506;169.640;169.775;169.908;170.037;170.163;170.282;170.394;170.497;170.592;170.677;170.750;170.811;170.859;170.896
Comuna 11;CABA;189.760;189.795;189.829;189.861;189.893;189.925;189.956;189.986;190.016;190.046;190.076;190.105;190.135;190.165;190.195;190.225
Comuna 12;CABA;211.320;211.699;212.082;212.467;212.846;213.218;213.576;213.914;214.229;214.518;214.777;215.002;215.189;215.335;215.442;215.505
Comuna 13;CABA;234.846;235.011;235.178;235.342;235.506;235.666;235.819;235.967;236.107;236.238;236.358;236.468;236.566;236.650;236.723;236.781
Comuna 14;CABA;226.489;226.558;226.626;226.692;226.758;226.821;226.884;226.944;227.003;227.060;227.115;227.168;227.219;227.268;227.315;227.360
Comuna 15;CABA;182.274;182.295;182.315;182.335;182.354;182.372;182.390;182.409;182.427;182.445;182.465;182.485;182.506;182.528;182.551;182.574
Almirante Brown;BUENOS AIRES;557.025;561.349;565.509;569.911;574.263;578.513;582.541;586.564;590.418;594.270;597.969;601.618;605.271;608.878;612.438;616.000
Avellaneda;BUENOS AIRES;345.752;346.847;347.924;348.999;350.080;351.165;352.246;353.273;354.314;355.352;356.392;357.440;358.512;359.550;360.583;361.532
Berazategui ;BUENOS AIRES;326.109;330.277;334.458;338.647;342.682;346.658;350.578;354.447;358.262;362.021;365.771;369.294;372.889;376.431;379.921;383.458
